,state,begin,end,poll_time,poll_date,week,day_of_week,pollster,method,vtype,n_obs,clinton,trump,both,other,poll_type,p_clinton,n_clinton,n_respondents
1597,general,2016-09-22,2016-09-28,6,2016-09-25,38,6,UPI/CVOTER,Internet,Likely Voters,1234.0,47.0,49.0,96.0,4.0,0,0.4895833333333333,579.98,1184.64
1598,general,2016-09-26,2016-09-27,1,2016-09-26,39,0,Echelon Insights (R),Internet,Likely Voters,1529.0,44.0,39.0,83.0,3.0,0,0.5301204819277109,672.76,1269.07
1600,general,2016-09-26,2016-09-27,1,2016-09-26,39,0,Morning Consult,Internet,Likely Voters,1253.0,45.0,41.0,86.0,0.0,0,0.5232558139534884,563.85,1077.58
1608,general,2016-09-25,2016-09-27,2,2016-09-26,39,0,Lucid/The Times-Picayune,Internet,Likely Voters,444.0,43.0,38.0,81.0,2.0,0,0.5308641975308642,190.92,359.64
1609,general,2016-09-01,2016-09-27,26,2016-09-14,37,2,Public Religion Research Institute ,Live Phone/Online,Likely Voters,1296.0,49.0,41.0,90.0,5.0,0,0.5444444444444444,635.04,1166.4
1610,general,2016-09-22,2016-09-26,4,2016-09-24,38,5,Ipsos/Reuters,Internet,Likely Voters,1041.0,44.0,38.0,82.0,7.0,0,0.5365853658536586,458.04,853.62
1618,general,2016-09-22,2016-09-25,3,2016-09-23,38,4,Public Religion Research Institute/The Atlantic,Live Phone,Likely Voters,461.0,43.0,43.0,86.0,4.0,0,0.5,198.23,396.46
1619,general,2016-09-22,2016-09-25,3,2016-09-23,38,4,Monmouth University,Live Phone,Likely Voters,729.0,46.0,42.0,88.0,3.0,0,0.5227272727272727,335.34,641.52
1621,general,2016-09-22,2016-09-25,3,2016-09-23,38,4,Quinnipiac,Live Phone,Likely Voters,1115.0,44.0,43.0,87.0,3.0,0,0.5057471264367817,490.6,970.05
1629,general,2016-09-19,2016-09-25,6,2016-09-22,38,3,NBC/SurveyMonkey,Internet,Likely Voters,13598.0,51.0,44.0,95.0,0.0,0,0.5368421052631579,6934.98,12918.1
1631,general,2016-09-22,2016-09-24,2,2016-09-23,38,4,YouGov/Economist,Internet,Registered Voters,948.0,44.0,41.0,85.0,3.0,1,0.5176470588235295,417.12,805.8
1639,general,2016-09-22,2016-09-24,2,2016-09-23,38,4,Morning Consult,Internet,Likely Voters,1712.0,44.0,42.0,86.0,0.0,0,0.5116279069767442,753.28,1472.32
1647,general,2016-09-21,2016-09-24,3,2016-09-22,38,3,Bloomberg/Selzer,Live Phone,Likely Voters,1002.0,46.0,46.0,92.0,3.0,0,0.5,460.92,921.84
1649,general,2016-09-19,2016-09-22,3,2016-09-20,38,1,ABC/Post,Live Phone,Likely Voters,651.0,46.0,44.0,90.0,1.0,0,0.5111111111111111,299.46,585.9
1651,general,2016-09-18,2016-09-22,4,2016-09-20,38,1,Franklin Pierce/RKM/Boston Herald,Live Phone,Likely Voters,1017.0,45.0,43.0,88.0,3.0,0,0.5113636363636364,457.65,894.96
1655,general,2016-09-20,2016-09-21,1,2016-09-20,38,1,Rasmussen,IVR/Online,Likely Voters,1000.0,39.0,44.0,83.0,5.0,0,0.46987951807228917,390.0,830.0
1659,general,2016-09-15,2016-09-21,6,2016-09-18,37,6,UPI/CVOTER,Internet,Likely Voters,1073.0,49.0,46.0,95.0,5.0,0,0.5157894736842106,525.77,1019.35
1660,general,2016-09-17,2016-09-20,3,2016-09-18,37,6,ARG,Live Phone,Registered Voters,990.0,47.0,44.0,91.0,5.0,1,0.5164835164835165,465.3,900.9
1664,general,2016-09-15,2016-09-20,5,2016-09-17,37,5,McClatchy/Marist,Live Phone,Likely Voters,758.0,48.0,41.0,89.0,9.0,0,0.5393258426966292,363.84,674.62
1672,general,2016-09-18,2016-09-19,1,2016-09-18,37,6,YouGov/Economist,Internet,Registered Voters,1065.0,40.0,38.0,78.0,4.0,1,0.5128205128205128,426.0,830.7
1676,general,2016-09-16,2016-09-19,3,2016-09-17,37,5,NBC/WSJ,Live Phone,Likely Voters,922.0,43.0,37.0,80.0,7.0,0,0.5375,396.46,737.6
1678,general,2016-09-15,2016-09-19,4,2016-09-17,37,5,AP-GfK (web),Internet,Likely Voters,1251.0,45.0,39.0,84.0,2.0,0,0.5357142857142857,562.95,1050.84
1680,general,2016-09-15,2016-09-19,4,2016-09-17,37,5,ICITIZEN,Internet,Registered Voters,1000.0,42.0,37.0,79.0,3.0,1,0.5316455696202531,420.0,790.0
1684,general,2016-09-15,2016-09-19,4,2016-09-17,37,5,Ipsos/Reuters,Internet,Likely Voters,1111.0,39.0,39.0,78.0,10.0,0,0.5,433.29,866.58
1692,general,2016-09-12,2016-09-18,6,2016-09-15,37,3,NBC/SurveyMonkey,Internet,Likely Voters,13230.0,50.0,45.0,95.0,0.0,0,0.5263157894736842,6615.0,12568.5
1694,general,2016-09-15,2016-09-16,1,2016-09-15,37,3,Morning Consult,Internet,Likely Voters,1639.0,46.0,42.0,88.0,0.0,0,0.5227272727272727,753.94,1442.32
1702,general,2016-09-10,2016-09-16,6,2016-09-13,37,1,Saint Leo University,Internet,Likely Voters,1005.0,46.0,41.0,87.0,4.0,0,0.5287356321839081,462.3,874.35
1703,general,2016-09-11,2016-09-14,3,2016-09-12,37,0,FOX,Live Phone,Likely Voters,867.0,41.0,40.0,81.0,4.0,0,0.5061728395061729,355.47,702.27
1711,general,2016-09-08,2016-09-14,6,2016-09-11,36,6,UPI/CVOTER,Internet,Likely Voters,1265.0,47.0,48.0,95.0,5.0,0,0.49473684210526314,594.55,1201.75
1712,general,2016-09-12,2016-09-13,1,2016-09-12,37,0,Rasmussen,IVR/Online,Likely Voters,1000.0,40.0,42.0,82.0,4.0,0,0.4878048780487805,400.0,820.0
1716,general,2016-09-10,2016-09-13,3,2016-09-11,36,6,YouGov/Economist,Internet,Registered Voters,1087.0,42.0,40.0,82.0,5.0,1,0.5121951219512195,456.54,891.34
1720,general,2016-09-09,2016-09-13,4,2016-09-11,36,6,CBS/Times,Live Phone,Likely Voters,1433.0,46.0,44.0,90.0,5.0,0,0.5111111111111111,659.18,1289.7
1728,general,2016-09-08,2016-09-13,5,2016-09-10,36,5,Quinnipiac,Live Phone,Likely Voters,960.0,48.0,43.0,91.0,3.0,0,0.5274725274725275,460.8,873.6
1736,general,2016-09-08,2016-09-12,4,2016-09-10,36,5,Ipsos/Reuters,Internet,Likely Voters,1127.0,40.0,39.0,79.0,9.0,0,0.5063291139240507,450.8,890.33
1744,general,2016-08-16,2016-09-12,27,2016-08-29,35,0,Pew,Live Phone,Registered Voters,3941.0,45.0,38.0,83.0,6.0,1,0.5421686746987951,1773.45,3271.03
1745,general,2016-09-05,2016-09-11,6,2016-09-08,36,3,NBC/SurveyMonkey,Internet,Registered Voters,16220.0,48.0,44.0,92.0,0.0,1,0.5217391304347826,7785.6,14922.4
1747,general,2016-09-06,2016-09-08,2,2016-09-07,36,2,Morning Consult,Internet,Likely Voters,1710.0,44.0,43.0,87.0,0.0,0,0.5057471264367817,752.4,1487.7
1755,general,2016-09-05,2016-09-08,3,2016-09-06,36,1,ABC/Post,Live Phone,Likely Voters,642.0,46.0,41.0,87.0,3.0,0,0.5287356321839081,295.32,558.54
1757,general,2016-09-06,2016-09-07,1,2016-09-06,36,1,Rasmussen,IVR/Online,Likely Voters,1000.0,43.0,39.0,82.0,4.0,0,0.524390243902439,430.0,820.0
1761,general,2016-09-01,2016-09-07,6,2016-09-04,35,6,UPI/CVOTER,Internet,Likely Voters,1226.0,47.0,48.0,95.0,6.0,0,0.49473684210526314,576.22,1164.7
1762,general,2016-09-04,2016-09-06,2,2016-09-05,36,0,YouGov/Economist,Internet,Registered Voters,1077.0,40.0,38.0,78.0,7.0,1,0.5128205128205128,430.8,840.06
1766,general,2016-09-01,2016-09-05,4,2016-09-03,35,5,Ipsos/Reuters,Internet,Likely Voters,1084.0,40.0,38.0,78.0,11.0,0,0.5128205128205128,433.6,845.52
1774,general,2016-09-01,2016-09-04,3,2016-09-02,35,4,CNN,Live Phone,Likely Voters,786.0,43.0,45.0,88.0,2.0,0,0.48863636363636365,337.98,691.68
1782,general,2016-08-31,2016-09-04,4,2016-09-02,35,4,Franklin Pierce/RKM/Boston Herald,Live Phone,Likely Voters,1025.0,44.0,41.0,85.0,4.0,0,0.5176470588235295,451.0,871.25
1786,general,2016-08-29,2016-09-04,6,2016-09-01,35,3,NBC/SurveyMonkey,Internet,Registered Voters,32226.0,48.0,42.0,90.0,0.0,1,0.5333333333333333,15468.48,29003.4
1788,general,2016-09-01,2016-09-02,1,2016-09-01,35,3,Morning Consult,Internet,Registered Voters,2001.0,42.0,40.0,82.0,0.0,1,0.5121951219512195,840.42,1640.82
1796,general,2016-08-28,2016-09-01,4,2016-08-30,35,1,GWU/Battleground,Live Phone,Likely Voters,1000.0,42.0,40.0,82.0,3.0,0,0.5121951219512195,420.0,820.0
1797,general,2016-08-26,2016-09-01,6,2016-08-29,35,0,IBD/TIPP,Live Phone,Registered Voters,887.0,44.0,43.0,87.0,4.0,1,0.5057471264367817,390.28,771.69
1813,general,2016-08-25,2016-08-31,6,2016-08-28,34,6,UPI/CVOTER,Internet,Likely Voters,1173.0,48.0,46.0,94.0,6.0,0,0.5106382978723404,563.04,1102.62
1814,general,2016-08-29,2016-08-30,1,2016-08-29,35,0,Rasmussen,IVR/Online,Likely Voters,1000.0,39.0,40.0,79.0,6.0,0,0.4936708860759494,390.0,790.0
1818,general,2016-08-28,2016-08-30,2,2016-08-29,35,0,FOX,Live Phone,Registered Voters,1011.0,41.0,39.0,80.0,5.0,1,0.5125,414.51,808.8
1826,general,2016-08-27,2016-08-29,2,2016-08-28,34,6,YouGov/Economist,Internet,Registered Voters,1119.0,42.0,37.0,79.0,5.0,1,0.5316455696202531,469.98,884.01
1830,general,2016-08-25,2016-08-29,4,2016-08-27,34,5,Ipsos/Reuters,Internet,Likely Voters,1404.0,40.0,39.0,79.0,9.0,0,0.5063291139240507,561.6,1109.16
1838,general,2016-08-24,2016-08-29,5,2016-08-26,34,4,Suffolk/USA Today,Live Phone,Likely Voters,1000.0,48.0,41.0,89.0,0.0,0,0.5393258426966292,480.0,890.0
1846,general,2016-08-26,2016-08-28,2,2016-08-27,34,5,PPP (D),IVR/Online,Likely Voters,881.0,42.0,37.0,79.0,5.0,0,0.5316455696202531,370.02,695.99
1854,general,2016-08-25,2016-08-28,3,2016-08-26,34,4,Monmouth University,Live Phone,Likely Voters,689.0,46.0,39.0,85.0,3.0,0,0.5411764705882353,316.94,585.65
1856,general,2016-08-22,2016-08-28,6,2016-08-25,34,3,NBC/SurveyMonkey,Internet,Registered Voters,24104.0,48.0,42.0,90.0,0.0,1,0.5333333333333333,11569.92,21693.6
1858,general,2016-08-24,2016-08-26,2,2016-08-25,34,3,Morning Consult,Internet,Registered Voters,2007.0,43.0,40.0,83.0,0.0,1,0.5180722891566265,863.01,1665.81
1866,general,2016-08-23,2016-08-24,1,2016-08-23,34,1,Rasmussen,IVR/Online,Likely Voters,1000.0,42.0,38.0,80.0,5.0,0,0.525,420.0,800.0
1870,general,2016-08-20,2016-08-24,4,2016-08-22,34,0,Ipsos/Reuters,Internet,Likely Voters,1049.0,42.0,35.0,77.0,9.0,0,0.5454545454545454,440.58,807.73
1878,general,2016-08-18,2016-08-24,6,2016-08-21,33,6,UPI/CVOTER,Internet,Likely Voters,1187.0,48.0,49.0,97.0,4.0,0,0.4948453608247423,569.76,1151.39
1879,general,2016-08-18,2016-08-24,6,2016-08-21,33,6,Quinnipiac,Live Phone,Likely Voters,1498.0,51.0,41.0,92.0,3.0,0,0.5543478260869565,763.98,1378.16
1887,general,2016-08-19,2016-08-23,4,2016-08-21,33,6,YouGov/Economist,Internet,Registered Voters,1080.0,42.0,38.0,80.0,6.0,1,0.525,453.6,864.0
1891,general,2016-08-15,2016-08-21,6,2016-08-18,33,3,NBC/SurveyMonkey,Internet,Registered Voters,17459.0,50.0,42.0,92.0,0.0,1,0.5434782608695652,8729.5,16062.28
1893,general,2016-08-18,2016-08-20,2,2016-08-19,33,4,Morning Consult,Internet,Registered Voters,2001.0,44.0,38.0,82.0,0.0,1,0.5365853658536586,880.44,1640.82
1898,general,2016-08-17,2016-08-20,3,2016-08-18,33,3,ARG,Live Phone,Registered Voters,994.0,47.0,42.0,89.0,6.0,1,0.5280898876404494,467.18,884.66
1902,general,2016-08-13,2016-08-17,4,2016-08-15,33,0,Ipsos/Reuters,Internet,Likely Voters,1049.0,41.0,36.0,77.0,10.0,0,0.5324675324675324,430.09,807.73
1910,general,2016-08-11,2016-08-17,6,2016-08-14,32,6,UPI/CVOTER,Internet,Likely Voters,1009.0,50.0,46.0,96.0,5.0,0,0.5208333333333334,504.5,968.64
1911,general,2016-08-15,2016-08-16,1,2016-08-15,33,0,Rasmussen,IVR/Online,Likely Voters,1000.0,41.0,39.0,80.0,6.0,0,0.5125,410.0,800.0
1915,general,2016-08-11,2016-08-16,5,2016-08-13,32,5,YouGov/Economist,Internet,Registered Voters,1076.0,41.0,35.0,76.0,5.0,1,0.5394736842105263,441.16,817.76
1919,general,2016-08-10,2016-08-16,6,2016-08-13,32,5,Public Religion Research Institute ,Live Phone,Registered Voters,1630.0,48.0,35.0,83.0,7.0,1,0.5783132530120482,782.4,1352.9
1920,general,2016-08-09,2016-08-16,7,2016-08-12,32,4,Pew,Live Phone,Registered Voters,1567.0,41.0,37.0,78.0,6.0,1,0.5256410256410257,642.47,1222.26
1921,general,2016-08-09,2016-08-15,6,2016-08-12,32,4,"Normington, Petts & Associates (D-End Citizens United)",Live Phone,Likely Voters,1000.0,50.0,40.0,90.0,5.0,0,0.5555555555555556,500.0,900.0
1923,general,2016-08-11,2016-08-14,3,2016-08-12,32,4,Morning Consult,Internet,Registered Voters,2001.0,44.0,37.0,81.0,0.0,1,0.5432098765432098,880.44,1620.81
1931,general,2016-08-08,2016-08-14,6,2016-08-11,32,3,NBC/SurveyMonkey,Internet,Registered Voters,15179.0,50.0,41.0,91.0,0.0,1,0.5494505494505495,7589.5,13812.89
1933,general,2016-08-12,2016-08-13,1,2016-08-12,32,4,Zogby (Internet),Internet,Likely Voters,1277.0,38.0,36.0,74.0,5.0,0,0.5135135135135135,485.26,944.98
1934,general,2016-08-09,2016-08-10,1,2016-08-09,32,1,Rasmussen,IVR/Online,Likely Voters,1000.0,43.0,40.0,83.0,6.0,0,0.5180722891566265,430.0,830.0
1938,general,2016-08-06,2016-08-10,4,2016-08-08,32,0,Ipsos/Reuters,Internet,Likely Voters,974.0,42.0,36.0,78.0,10.0,0,0.5384615384615384,409.08,759.72
1946,general,2016-08-03,2016-08-10,7,2016-08-06,31,5,UPI/CVOTER,Internet,Likely Voters,1077.0,50.0,45.0,95.0,5.0,0,0.5263157894736842,538.5,1023.15
1947,general,2016-08-06,2016-08-09,3,2016-08-07,31,6,YouGov/Economist,Internet,Registered Voters,1026.0,42.0,36.0,78.0,4.0,1,0.5384615384615384,430.92,800.28
1951,general,2016-07-27,2016-08-09,13,2016-08-02,31,1,Public Religion Research Institute/The Atlantic,Live Phone,Registered Voters,1803.0,48.0,36.0,84.0,6.0,1,0.5714285714285714,865.44,1514.52
1952,general,2016-08-05,2016-08-08,3,2016-08-06,31,5,Bloomberg/Selzer,Live Phone,Likely Voters,749.0,44.0,40.0,84.0,4.0,0,0.5238095238095238,329.56,629.16
1954,general,2016-08-04,2016-08-07,3,2016-08-05,31,4,PSRAI,Live Phone,Registered Voters,798.0,45.0,39.0,84.0,3.0,1,0.5357142857142857,359.1,670.32
1955,general,2016-08-04,2016-08-07,3,2016-08-05,31,4,Monmouth University,Live Phone,Likely Voters,683.0,50.0,37.0,87.0,3.0,0,0.5747126436781609,341.5,594.21
1956,general,2016-08-01,2016-08-07,6,2016-08-04,31,3,NBC/SurveyMonkey,Internet,Registered Voters,11480.0,51.0,41.0,92.0,0.0,1,0.5543478260869565,5854.8,10561.6
1958,general,2016-08-04,2016-08-05,1,2016-08-04,31,3,Morning Consult,Internet,Registered Voters,2001.0,46.0,37.0,83.0,0.0,1,0.5542168674698795,920.46,1660.83
1966,general,2016-08-01,2016-08-04,3,2016-08-02,31,1,ABC/Post,Live Phone,Likely Voters,682.0,51.0,44.0,95.0,3.0,0,0.5368421052631579,347.82,647.9
1968,general,2016-07-29,2016-08-04,6,2016-08-01,31,0,IBD/TIPP,Live Phone,Registered Voters,851.0,46.0,39.0,85.0,5.0,1,0.5411764705882353,391.46,723.35
1976,general,2016-08-01,2016-08-03,2,2016-08-02,31,1,McClatchy/Marist,Live Phone,Registered Voters,983.0,48.0,33.0,81.0,14.0,1,0.5925925925925926,471.84,796.23
1984,general,2016-07-31,2016-08-03,3,2016-08-01,31,0,NBC/WSJ,Live Phone,Registered Voters,800.0,47.0,38.0,85.0,11.0,1,0.5529411764705883,376.0,680.0
1986,general,2016-07-30,2016-08-03,4,2016-08-01,31,0,Ipsos/Reuters,Internet,Likely Voters,1072.0,43.0,39.0,82.0,9.0,0,0.524390243902439,460.96,879.04
1994,general,2016-08-01,2016-08-02,1,2016-08-01,31,0,Rasmussen,IVR/Online,Likely Voters,1000.0,44.0,40.0,84.0,6.0,0,0.5238095238095238,440.0,840.0
1995,general,2016-07-31,2016-08-02,2,2016-08-01,31,0,FOX,Live Phone,Registered Voters,1022.0,49.0,39.0,88.0,5.0,1,0.5568181818181818,500.78,899.36
2003,general,2016-07-27,2016-08-02,6,2016-07-30,30,5,UPI/CVOTER,Internet,Likely Voters,989.0,49.0,46.0,95.0,5.0,0,0.5157894736842106,484.61,939.55
2004,general,2016-07-30,2016-08-01,2,2016-07-31,30,6,YouGov/Economist,Internet,Registered Voters,1069.0,41.0,36.0,77.0,6.0,1,0.5324675324675324,438.29,823.13
2008,general,2016-07-29,2016-08-01,3,2016-07-30,30,5,Penn Schoen Berland,Internet,Likely Voters,1000.0,45.0,40.0,85.0,0.0,0,0.5294117647058824,450.0,850.0
2012,general,2016-07-29,2016-07-31,2,2016-07-30,30,5,CNN,Live Phone,Registered Voters,894.0,52.0,43.0,95.0,5.0,1,0.5473684210526316,464.88,849.3
2020,general,2016-07-29,2016-07-31,2,2016-07-30,30,5,CBS,Live Phone,Registered Voters,1131.0,47.0,41.0,88.0,3.0,1,0.5340909090909091,531.57,995.28
2028,general,2016-07-25,2016-07-31,6,2016-07-28,30,3,NBC/SurveyMonkey,Internet,Registered Voters,12742.0,50.0,42.0,92.0,0.0,1,0.5434782608695652,6371.0,11722.64
2030,general,2016-07-29,2016-07-30,1,2016-07-29,30,4,Morning Consult,Internet,Registered Voters,1931.0,43.0,40.0,83.0,0.0,1,0.5180722891566265,830.33,1602.73
2038,general,2016-07-29,2016-07-30,1,2016-07-29,30,4,PPP (D),IVR/Online,Likely Voters,1276.0,46.0,41.0,87.0,2.0,0,0.5287356321839081,586.96,1110.12
2046,general,2016-07-29,2016-07-29,0,2016-07-29,30,4,RABA Research,Internet,Likely Voters,956.0,46.0,31.0,77.0,2.0,0,0.5974025974025974,439.76,736.12
2047,general,2016-07-25,2016-07-29,4,2016-07-27,30,2,Ipsos/Reuters,Internet,Likely Voters,1050.0,40.0,35.0,75.0,8.0,0,0.5333333333333333,420.0,787.5
2052,general,2016-07-26,2016-07-27,1,2016-07-26,30,1,Rasmussen,IVR/Online,Likely Voters,1000.0,43.0,42.0,85.0,10.0,0,0.5058823529411764,430.0,850.0
2053,general,2016-07-23,2016-07-24,1,2016-07-23,29,5,YouGov/Economist,Internet,Registered Voters,1057.0,40.0,38.0,78.0,8.0,1,0.5128205128205128,422.8,824.46
2057,general,2016-07-22,2016-07-24,2,2016-07-23,29,5,Penn Schoen Berland,Internet,Likely Voters,1000.0,41.0,44.0,85.0,0.0,0,0.4823529411764706,410.0,850.0
2061,general,2016-07-22,2016-07-24,2,2016-07-23,29,5,CBS,Live Phone,Registered Voters,1118.0,43.0,44.0,87.0,4.0,1,0.4942528735632184,480.74,972.66
2069,general,2016-07-22,2016-07-24,2,2016-07-23,29,5,CNN,Live Phone,Registered Voters,882.0,45.0,48.0,93.0,6.0,1,0.4838709677419355,396.9,820.26
2077,general,2016-07-22,2016-07-24,2,2016-07-23,29,5,Morning Consult,Internet,Registered Voters,2502.0,40.0,44.0,84.0,0.0,1,0.47619047619047616,1000.8,2101.68
2085,general,2016-07-21,2016-07-24,3,2016-07-22,29,4,University of Delaware/PSRAI,Live Phone,Registered Voters,818.0,46.0,42.0,88.0,4.0,1,0.5227272727272727,376.28,719.84
2089,general,2016-07-18,2016-07-24,6,2016-07-21,29,3,NBC/SurveyMonkey,Internet,Registered Voters,12931.0,46.0,45.0,91.0,0.0,1,0.5054945054945055,5948.26,11767.21
2091,general,2016-07-22,2016-07-22,0,2016-07-22,29,4,RABA Research,Internet,Likely Voters,909.0,39.0,34.0,73.0,3.0,0,0.5342465753424658,354.51,663.57
2092,general,2016-07-21,2016-07-22,1,2016-07-21,29,3,Gravis Marketing/OANN,Automated Phone,Registered Voters,3462.0,49.0,51.0,100.0,0.0,1,0.49,1696.38,3462.0
2093,general,2016-07-17,2016-07-20,3,2016-07-18,29,0,ARG,Live Phone,Registered Voters,990.0,43.0,42.0,85.0,6.0,1,0.5058823529411764,425.7,841.5
2097,general,2016-07-16,2016-07-20,4,2016-07-18,29,0,Ipsos/Reuters,Internet,Registered Voters,1232.0,40.0,36.0,76.0,13.0,1,0.5263157894736842,492.8,936.32
2105,general,2016-07-18,2016-07-19,1,2016-07-18,29,0,Rasmussen,IVR/Online,Likely Voters,1000.0,42.0,43.0,85.0,11.0,0,0.49411764705882355,420.0,850.0
2106,general,2016-07-13,2016-07-18,5,2016-07-15,28,4,GQR (D-Democracy Corps),Live Phone,Likely Voters,900.0,43.0,40.0,83.0,4.0,0,0.5180722891566265,387.0,747.0
2108,general,2016-07-15,2016-07-17,2,2016-07-16,28,5,YouGov/Economist,Internet,Registered Voters,1056.0,40.0,37.0,77.0,7.0,1,0.5194805194805194,422.4,813.12
2112,general,2016-07-11,2016-07-17,6,2016-07-14,28,3,NBC/SurveyMonkey,Internet,Registered Voters,9436.0,46.0,45.0,91.0,0.0,1,0.5054945054945055,4340.56,8586.76
2114,general,2016-07-14,2016-07-16,2,2016-07-15,28,4,Monmouth University,Live Phone,Registered Voters,805.0,43.0,40.0,83.0,4.0,1,0.5180722891566265,346.15,668.15
2118,general,2016-07-14,2016-07-16,2,2016-07-15,28,4,Morning Consult,Internet,Registered Voters,2002.0,41.0,39.0,80.0,0.0,1,0.5125,820.82,1601.6
2126,general,2016-07-13,2016-07-16,3,2016-07-14,28,3,CNN,Live Phone,Registered Voters,872.0,49.0,42.0,91.0,8.0,1,0.5384615384615384,427.28,793.52
2134,general,2016-07-12,2016-07-16,4,2016-07-14,28,3,Franklin Pierce/RKM/Boston Herald,Live Phone,Likely Voters,1007.0,44.0,41.0,85.0,5.0,0,0.5176470588235295,443.08,855.95
2138,general,2016-07-12,2016-07-15,3,2016-07-13,28,2,ICITIZEN,Internet,Registered Voters,1000.0,46.0,41.0,87.0,0.0,1,0.5287356321839081,460.0,870.0
2140,general,2016-07-11,2016-07-14,3,2016-07-12,28,1,ABC/Post,Live Phone,Registered Voters,816.0,47.0,43.0,90.0,8.0,1,0.5222222222222223,383.52,734.4
2142,general,2016-07-12,2016-07-13,1,2016-07-12,28,1,Rasmussen,IVR/Online,Likely Voters,1000.0,37.0,44.0,81.0,13.0,0,0.4567901234567901,370.0,810.0
2143,general,2016-07-09,2016-07-13,4,2016-07-11,28,0,NBC/WSJ,Live Phone,Registered Voters,1000.0,46.0,41.0,87.0,9.0,1,0.5287356321839081,460.0,870.0
2145,general,2016-07-08,2016-07-12,4,2016-07-10,27,6,CBS/Times,Live Phone,Registered Voters,1358.0,40.0,40.0,80.0,4.0,1,0.5,543.2,1086.4
2147,general,2016-07-09,2016-07-11,2,2016-07-10,27,6,YouGov/Economist,Internet,Registered Voters,1049.0,40.0,37.0,77.0,6.0,1,0.5194805194805194,419.6,807.73
2151,general,2016-07-07,2016-07-11,4,2016-07-09,27,5,AP-GfK (web),Internet,Registered Voters,837.0,40.0,36.0,76.0,2.0,1,0.5263157894736842,334.8,636.12
2152,general,2016-07-08,2016-07-10,2,2016-07-09,27,5,Morning Consult,Internet,Registered Voters,2001.0,42.0,41.0,83.0,0.0,1,0.5060240963855421,840.42,1660.83
2160,general,2016-07-04,2016-07-10,6,2016-07-07,27,3,NBC/SurveyMonkey,Internet,Registered Voters,7869.0,47.0,44.0,91.0,0.0,1,0.5164835164835165,3698.43,7160.79
2162,general,2016-07-07,2016-07-09,2,2016-07-08,27,4,RABA Research,Internet,Likely Voters,781.0,41.0,29.0,70.0,2.0,0,0.5857142857142857,320.21,546.7
2163,general,2016-07-05,2016-07-09,4,2016-07-07,27,3,McClatchy/Marist,Live Phone,Registered Voters,1053.0,42.0,39.0,81.0,14.0,1,0.5185185185185185,442.26,852.93
2171,general,2016-07-02,2016-07-06,4,2016-07-04,27,0,Ipsos/Reuters,Internet,Registered Voters,1345.0,44.0,33.0,77.0,12.0,1,0.5714285714285714,591.8,1035.65
2179,general,2016-07-05,2016-07-05,0,2016-07-05,27,1,Rasmussen,IVR/Online,Likely Voters,1000.0,38.0,40.0,78.0,8.0,0,0.48717948717948717,380.0,780.0
2181,general,2016-07-01,2016-07-05,4,2016-07-03,26,6,Penn Schoen Berland,Internet,Likely Voters,1000.0,40.0,36.0,76.0,0.0,0,0.5263157894736842,400.0,760.0
2185,general,2016-07-02,2016-07-04,2,2016-07-03,26,6,YouGov/Economist,Internet,Registered Voters,1004.0,42.0,37.0,79.0,7.0,1,0.5316455696202531,421.68,793.16
2189,general,2016-06-30,2016-07-04,4,2016-07-02,26,5,Morning Consult,Internet,Registered Voters,2001.0,41.0,40.0,81.0,0.0,1,0.5061728395061729,820.41,1620.81
2197,general,2016-06-27,2016-07-03,6,2016-06-30,26,3,NBC/SurveyMonkey,Internet,Registered Voters,10072.0,48.0,43.0,91.0,0.0,1,0.5274725274725275,4834.56,9165.52
2199,general,2016-06-28,2016-06-29,1,2016-06-28,26,1,Rasmussen,IVR/Online,Likely Voters,1000.0,39.0,43.0,82.0,12.0,0,0.47560975609756095,390.0,820.0
2200,general,2016-06-26,2016-06-29,3,2016-06-27,26,0,Suffolk/USA Today,Live Phone,Likely Voters,1000.0,46.0,40.0,86.0,0.0,0,0.5348837209302325,460.0,860.0
2208,general,2016-06-25,2016-06-29,4,2016-06-27,26,0,Ipsos/Reuters,Internet,Registered Voters,1247.0,42.0,32.0,74.0,14.0,1,0.5675675675675675,523.74,922.78
2216,general,2016-06-24,2016-06-29,5,2016-06-26,25,6,IBD/TIPP,Live Phone,Registered Voters,837.0,44.0,40.0,84.0,9.0,1,0.5238095238095238,368.28,703.08
2224,general,2016-06-27,2016-06-28,1,2016-06-27,26,0,Gravis Marketing/OANN,Automated Phone,Registered Voters,2162.0,50.0,46.0,96.0,4.0,1,0.5208333333333334,1081.0,2075.52
2225,general,2016-06-27,2016-06-28,1,2016-06-27,26,0,PPP (D),IVR/Online,Likely Voters,853.0,45.0,41.0,86.0,2.0,0,0.5232558139534884,383.85,733.58
2233,general,2016-06-26,2016-06-28,2,2016-06-27,26,0,FOX,Live Phone,Registered Voters,1017.0,44.0,38.0,82.0,7.0,1,0.5365853658536586,447.48,833.94
2241,general,2016-06-23,2016-06-28,5,2016-06-25,25,5,GQR (D-Democracy Corps),Live Phone,Likely Voters,900.0,48.0,37.0,85.0,3.0,0,0.5647058823529412,432.0,765.0
2242,general,2016-06-24,2016-06-27,3,2016-06-25,25,5,YouGov/Economist,Internet,Registered Voters,1069.0,40.0,35.0,75.0,7.0,1,0.5333333333333333,427.6,801.75
